name,plant_part,chem_class,source,pubchem_cid,formula,mw,smiles,inchikey,iupac,rdkit_mw,logp,hbd,hba,tpsa,rotatable_bonds,rings,heavy_atoms,fraction_csp3,qed,lipinski_violations,lipinski_pass,veber_pass
moringin,bark/seed,isothiocyanate,moringa,153557,C14H17NO5S,311.36,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)CN=C=S)O)O)O,QAZIHHJTZPNRCM-CNJBRALLSA-N,"(2S,3R,4R,5R,6S)-2-[4-(isothiocyanatomethyl)phenoxy]-6-methyloxane-3,4,5-triol",311.359,0.496,3,7,91.51,4,2,21,0.5,0.554,0,True,True
glucomoringin,bark/seed,glucosinolate,moringa,162639104,C20H28KNO14S2,609.7,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)C/C(=N\OS(=O)(=O)[O-])/S[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O.[K+],OVFNULRBAJGUQL-FNPJROJFSA-M,"potassium [(E)-[1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]sulfanyl-2-[4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyphenyl]ethylidene]amino] sulfate",609.669,-6.237,7,16,248.09,8,3,38,0.65,0.036,3,False,False
benzyl isothiocyanate,bark/root,isothiocyanate,moringa,2346,C8H7NS,149.21,C1=CC=C(C=C1)CN=C=S,MDKCFLQDBWCQCV-UHFFFAOYSA-N,isothiocyanatomethylbenzene,149.218,2.289,0,2,12.36,2,1,10,0.125,0.464,0,True,True
4-hydroxybenzyl isothiocyanate,root,isothiocyanate,moringa,160611,C8H7NOS,165.21,C1=CC(=CC=C1CN=C=S)O,ATKWJXUJUNLTFU-UHFFFAOYSA-N,4-(isothiocyanatomethyl)phenol,165.217,1.995,1,3,32.59,2,1,11,0.125,0.537,0,True,True
sinigrin,seed,glucosinolate,moringa,6911854,C10H17NO9S2,359.4,C=CC/C(=N\OS(=O)(=O)O)/S[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,PHZOWSSBXJXFOR-PTGZALFTSA-N,"[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl] (1E)-N-sulfooxybut-3-enimidothioate",359.378,-1.771,5,10,166.11,6,1,22,0.7,0.12,0,True,False
niazimicin,bark,thiocarbamate,moringa,5471459,C16H23NO6S,357.4,CCOC(=S)NCC1=CC=C(C=C1)OC2C(C(C(C(O2)C)O)O)O,JOSHUAQJVMGTGS-UHFFFAOYSA-N,"O-ethyl N-[[4-(3,4,5-trihydroxy-6-methyloxan-2-yl)oxyphenyl]methyl]carbamothioate",357.428,0.304,4,7,100.41,5,2,24,0.562,0.559,0,True,True
niazirin,bark,nitrile glycoside,moringa,129556,C14H17NO5,279.29,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=CC=C(C=C2)CC#N)O)O)O,OBJREHLZEIEGDU-CNJBRALLSA-N,"2-[4-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyphenyl]acetonitrile",279.292,-0.041,3,6,102.94,3,2,20,0.5,0.717,0,True,True
moringine,bark,alkaloid,moringa,7504,C7H9N,107.15,C1=CC=C(C=C1)CN,WGQKYBSKWIADBV-UHFFFAOYSA-N,phenylmethanamine,107.156,1.145,1,1,26.02,1,1,8,0.143,0.572,0,True,True
quercetin,leaf/bark,flavonol,moringa,5280343,C15H10O7,302.23,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,REFJWTPEDVJJIY-UHFFFAOYSA-N,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",302.238,1.988,5,7,131.36,1,3,22,0.0,0.434,0,True,True
kaempferol,leaf/bark,flavonol,moringa,5280863,C15H10O6,286.24,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,IYRMWMYZSQPJKC-UHFFFAOYSA-N,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",286.239,2.282,4,6,111.13,1,3,21,0.0,0.546,0,True,True
rutin,leaf,flavonol glycoside,moringa,5280805,C27H30O16,610.5,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O,IKGXIBQEEMLURG-NVPNHPEKSA-N,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-[[(2R,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxymethyl]oxan-2-yl]oxychromen-4-one",610.521,-1.687,10,16,269.43,6,5,43,0.444,0.14,3,False,False
isoquercitrin,leaf,flavonol glycoside,moringa,5484006,C21H20O12,464.4,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,OPJZLUXFQFQYAI-GNPVFZCLSA-N,"3-[(2S,3R,4R,5R)-5-[(1R)-1,2-dihydroxyethyl]-3,4-dihydroxyoxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",464.379,-0.539,8,12,210.51,5,4,33,0.286,0.224,2,False,False
apigenin,leaf,flavone,moringa,5280443,C15H10O5,270.24,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,KZNIFHPLKGYRTM-UHFFFAOYSA-N,"5,7-dihydroxy-2-(4-hydroxyphenyl)chromen-4-one",270.24,2.577,3,5,90.9,1,3,20,0.0,0.632,0,True,True
luteolin,leaf,flavone,moringa,5280445,C15H10O6,286.24,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,IQPNAANSBPBGFQ-UHFFFAOYSA-N,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",286.239,2.282,4,6,111.13,1,3,21,0.0,0.511,0,True,True
catechin,bark,flavan-3-ol,moringa,9064,C15H14O6,290.27,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-DZGCQCFKSA-N,"(2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",290.271,1.546,5,6,110.38,1,3,21,0.2,0.51,0,True,True
epicatechin,bark,flavan-3-ol,moringa,72276,C15H14O6,290.27,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,PFTAWBLQPZVEMU-UKRRQHHQSA-N,"(2R,3R)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol",290.271,1.546,5,6,110.38,1,3,21,0.2,0.51,0,True,True
gallic acid,bark,phenolic acid,moringa,370,C7H6O5,170.12,C1=C(C=C(C(=C1O)O)O)C(=O)O,LNTHITQWFMADLM-UHFFFAOYSA-N,"3,4,5-trihydroxybenzoic acid",170.12,0.502,4,4,97.99,1,1,12,0.0,0.46,0,True,True
ellagic acid,bark,phenolic acid,moringa,5281855,C14H6O8,302.19,C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O,AFSDNFLWKVMVRB-UHFFFAOYSA-N,"6,7,13,14-tetrahydroxy-2,9-dioxatetracyclo[6.6.2.04,16.011,15]hexadeca-1(15),4,6,8(16),11,13-hexaene-3,10-dione",302.194,1.313,4,8,141.34,0,4,22,0.0,0.216,0,True,False
