sample,conc_ppm,trial,replicate,abs_570,lab_grubbs_outlier
MBEE,400,1,R1,0.620,FALSE
MBEE,400,1,R2,0.774,FALSE
MBEE,400,1,R3,0.818,FALSE
MBEE,400,2,R1,1.118,TRUE
MBEE,400,2,R2,0.971,FALSE
MBEE,400,2,R3,1.667,TRUE
MBEE,200,1,R1,0.928,FALSE
MBEE,200,1,R2,0.787,FALSE
MBEE,200,1,R3,1.059,FALSE
MBEE,200,2,R1,1.521,TRUE
MBEE,200,2,R2,1.231,FALSE
MBEE,200,2,R3,1.707,TRUE
MBEE,100,1,R1,0.811,FALSE
MBEE,100,1,R2,0.770,TRUE
MBEE,100,1,R3,1.274,FALSE
MBEE,100,2,R1,1.297,FALSE
MBEE,100,2,R2,1.617,TRUE
MBEE,100,2,R3,1.807,TRUE
MBEE,50,1,R1,1.032,TRUE
MBEE,50,1,R2,1.196,FALSE
MBEE,50,1,R3,1.298,FALSE
MBEE,50,2,R1,1.265,FALSE
MBEE,50,2,R2,1.504,FALSE
MBEE,50,2,R3,1.670,TRUE
MBEE,25,1,R1,1.206,FALSE
MBEE,25,1,R2,1.022,TRUE
MBEE,25,1,R3,1.317,FALSE
MBEE,25,2,R1,1.263,FALSE
MBEE,25,2,R2,1.674,FALSE
MBEE,25,2,R3,1.898,TRUE
MBEE,12.5,1,R1,1.335,FALSE
MBEE,12.5,1,R2,1.268,TRUE
MBEE,12.5,1,R3,1.340,FALSE
MBEE,12.5,2,R1,1.193,TRUE
MBEE,12.5,2,R2,1.707,FALSE
MBEE,12.5,2,R3,1.949,TRUE
DOX,50,1,R1,0.739,TRUE
DOX,50,1,R2,0.501,FALSE
DOX,50,1,R3,0.681,FALSE
DOX,50,2,R1,1.076,TRUE
DOX,50,2,R2,0.472,FALSE
DOX,50,2,R3,0.413,FALSE
DOX,25,1,R1,0.921,FALSE
DOX,25,1,R2,0.979,FALSE
DOX,25,1,R3,0.896,FALSE
DOX,25,2,R1,1.050,TRUE
DOX,25,2,R2,0.721,FALSE
DOX,25,2,R3,0.542,TRUE
DOX,12.5,1,R1,1.134,TRUE
DOX,12.5,1,R2,0.865,FALSE
DOX,12.5,1,R3,0.877,FALSE
DOX,12.5,2,R1,1.198,TRUE
DOX,12.5,2,R2,0.938,FALSE
DOX,12.5,2,R3,0.892,FALSE
DOX,6.2,1,R1,0.781,FALSE
DOX,6.2,1,R2,1.250,FALSE
DOX,6.2,1,R3,1.045,FALSE
DOX,6.2,2,R1,1.221,FALSE
DOX,6.2,2,R2,0.700,TRUE
DOX,6.2,2,R3,0.556,TRUE
DOX,3.1,1,R1,1.417,FALSE
DOX,3.1,1,R2,1.181,FALSE
DOX,3.1,1,R3,0.766,TRUE
DOX,3.1,2,R1,1.047,FALSE
DOX,3.1,2,R2,0.836,TRUE
DOX,3.1,2,R3,0.762,TRUE
NC,0,1,R1,1.242,FALSE
NC,0,1,R2,1.382,FALSE
NC,0,1,R3,1.373,FALSE
NC,0,2,R1,1.166,FALSE
NC,0,2,R2,1.274,FALSE
NC,0,2,R3,1.222,FALSE
BLANK,0,1,R1,0.068,FALSE
BLANK,0,1,R2,0.065,FALSE
BLANK,0,1,R3,0.166,TRUE
BLANK,0,2,R1,0.071,FALSE
BLANK,0,2,R2,0.067,FALSE
BLANK,0,2,R3,0.157,TRUE
