true_ic50,n_tech,n_bio,wells_per_group,perimeter_required,power_anova,p_shapiro_reject,power_12.5ppm,power_25ppm,power_50ppm,power_100ppm,power_200ppm
150.0,3,1,3,False,1.0,0.0575,0.20083333333333334,0.4866666666666667,0.9691666666666666,1.0,1.0
150.0,3,3,9,False,1.0,0.019166666666666665,0.6491666666666667,0.9825,1.0,1.0,1.0
150.0,4,1,4,False,1.0,0.05333333333333334,0.2966666666666667,0.7175,0.9908333333333333,1.0,1.0
150.0,4,3,12,False,1.0,0.03833333333333333,0.8058333333333333,0.9966666666666667,1.0,1.0,1.0
150.0,6,1,6,False,1.0,0.051666666666666666,0.4766666666666667,0.9075,1.0,1.0,1.0
150.0,6,3,18,False,1.0,0.05,0.97,1.0,1.0,1.0,1.0
150.0,8,1,8,True,1.0,0.0475,0.7983333333333333,0.9991666666666666,1.0,1.0,1.0
150.0,8,3,24,True,1.0,0.05,1.0,1.0,1.0,1.0,1.0
300.0,3,1,3,False,1.0,0.0575,0.06916666666666667,0.14916666666666667,0.43416666666666665,0.9333333333333333,1.0
300.0,3,3,9,False,1.0,0.019166666666666665,0.255,0.54,0.965,1.0,1.0
300.0,4,1,4,False,1.0,0.05333333333333334,0.10333333333333333,0.2425,0.6516666666666666,0.99,1.0
300.0,4,3,12,False,1.0,0.03833333333333333,0.41083333333333333,0.7466666666666667,0.9933333333333333,1.0,1.0
300.0,6,1,6,False,1.0,0.051666666666666666,0.16916666666666666,0.41583333333333333,0.8908333333333334,1.0,1.0
300.0,6,3,18,False,1.0,0.05,0.6416666666666667,0.9391666666666667,1.0,1.0,1.0
300.0,8,1,8,True,1.0,0.0475,0.4725,0.8583333333333333,0.9958333333333333,1.0,1.0
300.0,8,3,24,True,1.0,0.05,0.9833333333333333,1.0,1.0,1.0,1.0
