rule,sample,conc_ppm,n_wells,mean_viability,sd_wells,mean_of_trial_means,sd_of_trial_means,mean_inhibition
all_wells,DOX,3.1,6,76.33885452976854,20.16875007226456,76.33885452976854,9.254309121060974,23.66114547023146
all_wells,DOX,6.2,6,69.95005527996334,23.79016030461475,69.95005527996334,7.275549621891256,30.049944720036663
all_wells,DOX,12.5,6,75.42824904912518,13.667817097341926,75.4282490491252,8.120318279823081,24.571750950874815
all_wells,DOX,25.0,6,63.72882266608605,15.260215149624049,63.728822666086046,5.36575639263335,36.27117733391395
all_wells,DOX,50.0,6,46.67089813114691,21.853653053575723,46.67089813114691,3.9730227793720068,53.32910186885309
all_wells,MBEE,12.5,6,116.89684323540463,29.69756008778272,116.89684323540463,25.96084849833694,-16.89684323540463
all_wells,MBEE,25.0,6,111.30765584524373,32.438088959303435,111.30765584524372,33.27712252088182,-11.30765584524373
all_wells,MBEE,50.0,6,105.1701543453842,23.74487807485076,105.17015434538419,25.32399519842076,-5.170154345384205
all_wells,MBEE,100.0,6,100.28538692681472,39.785132738320996,100.28538692681474,44.07671564571565,-0.28538692681472355
all_wells,MBEE,200.0,6,95.29949644876633,34.603108294957515,95.29949644876632,40.12325716145616,4.700503551233666
all_wells,MBEE,400.0,6,77.26123400812422,35.18468155186663,77.26123400812422,36.10567662897743,22.73876599187578
all_wells,NC,0.0,6,100.0,5.042669876215618,100.0,0.0,0.0
lab_outliers_removed,DOX,3.1,3,93.21792747723242,11.77008464385164,91.14354691038452,8.800851393478487,6.782072522767578
lab_outliers_removed,DOX,6.2,4,81.8176374700013,19.42678431672836,87.8880728333535,17.169784040723847,18.1823625299987
lab_outliers_removed,DOX,12.5,4,68.5068629010822,5.958499944536809,68.5068629010822,7.003033569450276,31.4931370989178
lab_outliers_removed,DOX,25.0,4,65.43384853124294,6.489952559787647,62.493766845237694,8.31580678966675,34.566151468757056
lab_outliers_removed,DOX,50.0,4,36.93320687595331,8.068359363253832,36.93320687595331,6.366715679824743,63.06679312404669
lab_outliers_removed,MBEE,12.5,3,114.3483268850232,24.145879375855298,121.31840869488173,29.571552679055852,-14.348326885023198
lab_outliers_removed,MBEE,25.0,4,107.96187510063078,21.68319944220285,107.96187510063079,19.173429195033464,-7.9618751006307775
lab_outliers_removed,MBEE,50.0,4,103.74224130621391,15.137322332153461,103.74224130621391,14.825933990685165,-3.742241306213913
lab_outliers_removed,MBEE,100.0,3,86.94493006576609,25.000666214849876,91.86571636263861,20.877128155730365,13.055069934233913
lab_outliers_removed,MBEE,200.0,4,76.07026387418793,18.73327031369329,84.34592603672345,23.407107335751203,23.92973612581207
lab_outliers_removed,MBEE,400.0,4,59.32686215796247,14.32910868527732,65.65833261085584,17.90810276849262,40.67313784203753
lab_outliers_removed,NC,0.0,6,100.0,4.9118881025108045,100.0,0.0,0.0
