sample,conc_ppm,trial,n,lab_flagged,grubbs_n3_flagged,values
MBEE,400.0,1,3,0,0,"0.620, 0.774, 0.818"
MBEE,400.0,2,3,2,0,"1.118, 0.971, 1.667"
MBEE,400.0,pooled(6),6,2,0,"0.620, 0.774, 0.818, 1.118, 0.971, 1.667"
MBEE,200.0,1,3,0,0,"0.928, 0.787, 1.059"
MBEE,200.0,2,3,2,0,"1.521, 1.231, 1.707"
MBEE,200.0,pooled(6),6,2,0,"0.928, 0.787, 1.059, 1.521, 1.231, 1.707"
MBEE,100.0,1,3,1,0,"0.811, 0.770, 1.274"
MBEE,100.0,2,3,2,0,"1.297, 1.617, 1.807"
MBEE,100.0,pooled(6),6,3,0,"0.811, 0.770, 1.274, 1.297, 1.617, 1.807"
MBEE,50.0,1,3,1,0,"1.032, 1.196, 1.298"
MBEE,50.0,2,3,1,0,"1.265, 1.504, 1.670"
MBEE,50.0,pooled(6),6,2,0,"1.032, 1.196, 1.298, 1.265, 1.504, 1.670"
MBEE,25.0,1,3,1,0,"1.206, 1.022, 1.317"
MBEE,25.0,2,3,1,0,"1.263, 1.674, 1.898"
MBEE,25.0,pooled(6),6,2,0,"1.206, 1.022, 1.317, 1.263, 1.674, 1.898"
MBEE,12.5,1,3,1,0,"1.335, 1.268, 1.340"
MBEE,12.5,2,3,2,0,"1.193, 1.707, 1.949"
MBEE,12.5,pooled(6),6,3,0,"1.335, 1.268, 1.340, 1.193, 1.707, 1.949"
DOX,50.0,1,3,1,0,"0.739, 0.501, 0.681"
DOX,50.0,2,3,1,0,"1.076, 0.472, 0.413"
DOX,50.0,pooled(6),6,2,0,"0.739, 0.501, 0.681, 1.076, 0.472, 0.413"
DOX,25.0,1,3,0,0,"0.921, 0.979, 0.896"
DOX,25.0,2,3,2,0,"1.050, 0.721, 0.542"
DOX,25.0,pooled(6),6,2,0,"0.921, 0.979, 0.896, 1.050, 0.721, 0.542"
DOX,12.5,1,3,1,0,"1.134, 0.865, 0.877"
DOX,12.5,2,3,1,0,"1.198, 0.938, 0.892"
DOX,12.5,pooled(6),6,2,0,"1.134, 0.865, 0.877, 1.198, 0.938, 0.892"
DOX,6.2,1,3,0,0,"0.781, 1.250, 1.045"
DOX,6.2,2,3,2,0,"1.221, 0.700, 0.556"
DOX,6.2,pooled(6),6,2,0,"0.781, 1.250, 1.045, 1.221, 0.700, 0.556"
DOX,3.1,1,3,1,0,"1.417, 1.181, 0.766"
DOX,3.1,2,3,2,0,"1.047, 0.836, 0.762"
DOX,3.1,pooled(6),6,3,0,"1.417, 1.181, 0.766, 1.047, 0.836, 0.762"
NC,0.0,1,3,0,0,"1.242, 1.382, 1.373"
NC,0.0,2,3,0,0,"1.166, 1.274, 1.222"
NC,0.0,pooled(6),6,0,0,"1.242, 1.382, 1.373, 1.166, 1.274, 1.222"
BLANK,0.0,1,3,1,1,"0.068, 0.065, 0.166"
BLANK,0.0,2,3,1,0,"0.071, 0.067, 0.157"
BLANK,0.0,pooled(6),6,2,0,"0.068, 0.065, 0.166, 0.071, 0.067, 0.157"
