sample,conc_ppm,rule,lab_reported,recomputed,difference_pp
MBEE,400.0,all_wells,65.04,77.26123400812422,12.221234008124213
MBEE,400.0,lab_outliers_removed,65.04,65.65833261085584,0.6183326108558305
MBEE,200.0,all_wells,83.56,95.29949644876632,11.739496448766317
MBEE,200.0,lab_outliers_removed,83.56,84.34592603672345,0.7859260367234526
MBEE,100.0,all_wells,91.16,100.28538692681474,9.125386926814741
MBEE,100.0,lab_outliers_removed,91.16,91.86571636263861,0.7057163626386114
MBEE,50.0,all_wells,103.22,105.17015434538419,1.9501543453841919
MBEE,50.0,lab_outliers_removed,103.22,103.74224130621391,0.522241306213914
MBEE,25.0,all_wells,107.32,111.30765584524372,3.9876558452437223
MBEE,25.0,lab_outliers_removed,107.32,107.96187510063079,0.6418751006307986
MBEE,12.5,all_wells,120.3,116.89684323540463,-3.4031567645953658
MBEE,12.5,lab_outliers_removed,120.3,121.31840869488173,1.0184086948817281
DOX,50.0,all_wells,37.13,46.67089813114691,9.54089813114691
DOX,50.0,lab_outliers_removed,37.13,36.93320687595331,-0.19679312404669247
DOX,25.0,all_wells,62.74,63.728822666086046,0.988822666086044
DOX,25.0,lab_outliers_removed,62.74,62.493766845237694,-0.246233154762308
DOX,12.5,all_wells,68.29,75.4282490491252,7.138249049125193
DOX,12.5,lab_outliers_removed,68.29,68.5068629010822,0.21686290108219453
DOX,6.2,all_wells,87.33,69.95005527996334,-17.37994472003666
DOX,6.2,lab_outliers_removed,87.33,87.8880728333535,0.5580728333535063
DOX,3.1,all_wells,91.45,76.33885452976854,-15.111145470231463
DOX,3.1,lab_outliers_removed,91.45,91.14354691038452,-0.3064530896154878
