name,plant_part,chem_class,source,pubchem_cid,rdkit_mw,potency_source,pred_pIC50,pIC50_calibrated,sigma_log,pred_IC50_ug_mL,pred_IC50_ug_mL_calibrated,IC50_ug_mL_strong,IC50_ug_mL_weak,max_tanimoto_to_train,in_applicability_domain
moringin,bark/seed,isothiocyanate,moringa,153557,311.359,QSAR (bias-corrected),5.0989976,5.312350078469511,1.0412586313417205,2.478927489412308,1.5167407159536783,0.13792808736891818,16.678998768963503,0.3333333333333333,True
glucomoringin,bark/seed,glucosinolate,moringa,162639104,609.669,QSAR (bias-corrected),5.070447,5.283799478469511,1.0412586313417205,5.183787164860725,3.1717184932396987,0.28842705997386775,34.87813591855823,0.3414634146341463,True
benzyl isothiocyanate,bark/root,isothiocyanate,moringa,2346,149.218,measured (ChEMBL),4.50979,4.688246138944246,0.3,4.613507784172057,3.058968999999999,1.533116210861583,6.103445568358036,0.6153846153846154,True
4-hydroxybenzyl isothiocyanate,root,isothiocyanate,moringa,160611,165.217,QSAR (bias-corrected),4.4433675,4.6567199784695115,1.0412586313417205,5.95233343386078,3.641956494263521,0.3311891665140208,40.049157542557225,0.4,True
sinigrin,seed,glucosinolate,moringa,6911854,359.378,UNUSABLE (out of domain),5.2458925,5.459244978469512,1.0412586313417205,2.040135285273552,1.2482641820728362,0.11351359487714278,13.726668333712688,0.2424242424242424,False
niazimicin,bark,thiocarbamate,moringa,5471459,357.428,QSAR (bias-corrected),5.433741,5.647093478469512,1.0412586313417205,1.3165806877059936,0.8055548051271141,0.07325486312415821,8.858368119035914,0.3333333333333333,True
niazirin,bark,nitrile glycoside,moringa,129556,279.292,QSAR (bias-corrected),5.2565603,5.469912778469512,1.0412586313417205,1.5470279628391266,0.9465547027859254,0.08607699283870528,10.408888319844655,0.3484848484848485,True
moringine,bark,alkaloid,moringa,7504,107.156,QSAR (bias-corrected),4.356627,4.569979478469511,1.0412586313417205,4.713999047546388,2.8842773207925076,0.26228797718291613,31.717258841172153,0.3333333333333333,True
quercetin,leaf/bark,flavonol,moringa,5280343,302.238,QSAR (bias-corrected),4.427655,4.641007478469511,1.0412586313417205,11.2899977394104,6.907829158799355,0.6281783390678993,75.96266970612751,0.717948717948718,True
kaempferol,leaf/bark,flavonol,moringa,5280863,286.239,QSAR (bias-corrected),4.0564876,4.269840078469511,1.0412586313417205,25.132822392906185,15.377605934606192,1.398395752526191,169.10146062218297,0.8055555555555556,True
rutin,leaf,flavonol glycoside,moringa,5280805,610.521,QSAR (bias-corrected),4.8247385,5.038090978469511,1.0412586313417205,9.140335044839858,5.5925468173727495,0.5085703033668094,61.49902913609104,0.5121951219512195,True
isoquercitrin,leaf,flavonol glycoside,moringa,5484006,464.379,QSAR (bias-corrected),4.7574797,4.970832178469512,1.0412586313417205,8.116950556394578,4.966385114030295,0.4516289387569823,54.6133761240967,0.4461538461538462,True
apigenin,leaf,flavone,moringa,5280443,270.24,measured (ChEMBL),4.333601,3.995678626217358,0.3,12.53570150756836,27.294239999999977,13.67952463955883,54.45916848771614,0.5,True
luteolin,leaf,flavone,moringa,5280445,286.239,QSAR (bias-corrected),4.6800737,4.893426178469512,1.0412586313417205,5.979364926321029,3.6584963620331257,0.33269325505255654,40.23103993766033,0.4677419354838709,True
catechin,bark,flavan-3-ol,moringa,9064,290.271,QSAR (bias-corrected),4.7737737,4.987126178469511,1.0412586313417205,4.886860950559616,2.9900432522691647,0.27190603021196985,32.880325027991205,0.4081632653061224,True
epicatechin,bark,flavan-3-ol,moringa,72276,290.271,QSAR (bias-corrected),4.7737737,4.987126178469511,1.0412586313417205,4.886860950559616,2.9900432522691647,0.27190603021196985,32.880325027991205,0.4081632653061224,True
gallic acid,bark,phenolic acid,moringa,370,170.12,QSAR (bias-corrected),4.3346024,4.547954878469511,1.0412586313417205,7.873231267089843,4.8172645325584185,0.43806833715025056,52.97355596984398,0.4482758620689655,True
ellagic acid,bark,phenolic acid,moringa,5281855,302.194,QSAR (bias-corrected),4.9575257,5.170878178469511,1.0412586313417205,3.3324227665119173,2.038955083767851,0.18541677689347455,22.42158397571129,0.3846153846153846,True
chlorogenic acid,leaf/bark,phenolic acid,moringa,1794427,354.311,QSAR (bias-corrected),5.0836973,5.297049778469511,1.0412586313417205,2.92204766543293,1.7878655546144069,0.16258340916607028,19.660451566196794,0.5192307692307693,True
caffeic acid,bark,phenolic acid,moringa,689043,180.159,QSAR (bias-corrected),4.6387153,4.852067778469512,1.0412586313417205,4.139431430803299,2.5327258565341313,0.2303188867728837,27.85138619865792,0.6774193548387096,True
ferulic acid,bark,phenolic acid,moringa,445858,194.186,QSAR (bias-corrected),4.2983375,4.511689978469511,1.0412586313417205,9.769682376113892,5.977614964137143,0.5435873055684757,65.73347150207717,0.7428571428571429,True
p-coumaric acid,bark,phenolic acid,moringa,637542,164.16,QSAR (bias-corrected),3.7987823,4.012134778469512,1.0412586313417205,26.090656479492186,15.963663511020846,1.4516901618821836,175.54610438544847,0.6666666666666666,True
syringic acid,bark,phenolic acid,moringa,10742,198.174,QSAR (bias-corrected),4.63611,4.849462478469512,1.0412586313417205,4.580752654003143,2.8027489395462193,0.25487401804454485,30.820723424050826,0.5806451612903226,True
