target,pdb_id,title,method,resolution_A,protein,genes,organism,druglike_ligands,cofactor_ligands,n_druglike,contains_dna,verdict,reason
AKT1,4GV1,PKB alpha in complex with AZD5363,X-RAY DIFFRACTION,1.49,RAC-alpha serine/threonine-protein kinase,"AKT1,PKB,RAC",Homo sapiens,0XZ,,1.0,False,ACCEPT,ok
Bcl-2,6QGG,Structure of human Bcl-2 in complex with analogue of ABT-737,X-RAY DIFFRACTION,1.5,"Apoptosis regulator Bcl-2,Bcl-2-like protein 1,Apoptosis regulator Bcl-2,Bcl-2-like protei","BCL2,BCL2L1,BCL2L,BCLX",Homo sapiens,J1H,,1.0,False,ACCEPT,ok
Bcl-xL,3QKD,Crystal structure of Bcl-xL in complex with a Quinazoline sulfonamide inhibitor,X-RAY DIFFRACTION,2.02,Bcl-2-like protein 1,"BCL2L1,BCL2L,BCLX",Homo sapiens,HI0,,1.0,False,ACCEPT,ok
COX-2 (PTGS2),5F19,The Crystal Structure of Aspirin Acetylated Human Cyclooxygenase-2,X-RAY DIFFRACTION,2.04,Prostaglandin G/H synthase 2,"PTGS2,COX2",Homo sapiens,"COH,AKR",,2.0,False,ACCEPT,ok
Caspase-3,2XYG,Caspase-3:CAS329306,X-RAY DIFFRACTION,1.54,CASPASE-3 SUBUNIT P17; CASPASE-3 SUBUNIT P12,,HOMO SAPIENS,TQ8,,1.0,False,ACCEPT,ok
EGFR (kinase domain),1XKK,EGFR kinase domain complexed with a quinazoline inhibitor- GW572016,X-RAY DIFFRACTION,2.4,Epidermal growth factor receptor,"EGFR,ERBB1",Homo sapiens,FMM,,1.0,False,ACCEPT,ok
ERK2 (MAPK1),2OJG,"Crystal structure of ERK2 in complex with N,N-dimethyl-4-(4-phenyl-1H-pyrazol-3-yl)-1H-pyr",X-RAY DIFFRACTION,2.0,Mitogen-activated protein kinase 1,"MAPK1,ERK2,PRKM1",Homo sapiens,19A,,1.0,False,ACCEPT,ok
KEAP1 (Kelch domain),4IQK,Crystal structure of cpd 16 bound to Keap1 Kelch domain,X-RAY DIFFRACTION,1.97,Kelch-like ECH-associated protein 1,"INRF2,KEAP1,KIAA0132,KLHL19",Homo sapiens,IQK,,1.0,False,ACCEPT,ok
KRAS (switch-II pocket),7RPZ,KRAS G12D in complex with MRTX-1133,X-RAY DIFFRACTION,1.3,Isoform 2B of GTPase KRas,"KRAS,KRAS2,RASK2",Homo sapiens,6IC,GDP,1.0,False,ACCEPT,ok
NQO1,1H69,"CRYSTAL STRUCTURE OF HUMAN NAD[P]H-QUINONE OXIDOREDUCTASE CO WITH 2,3,5,6,TETRAMETHYL-P-BE",X-RAY DIFFRACTION,1.86,NAD(P)H DEHYDROGENASE [QUINONE] 1,,HOMO SAPIENS,ARH,FAD,1.0,False,ACCEPT,ok
PI3Ka (PIK3CA),4JPS,Co-crystal Structures of the Lipid Kinase PI3K alpha with Pan and Isoform Selective Inhibi,X-RAY DIFFRACTION,2.2,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatid","PIK3CA,GRB1,PIK3R1",Homo sapiens,1LT,,1.0,False,ACCEPT,ok
Topoisomerase II (DNA cleavage complex),3QX3,Human topoisomerase IIbeta in complex with DNA and etoposide,X-RAY DIFFRACTION,2.162,DNA topoisomerase 2-beta; DNA (5'-D(P*AP*GP*CP*CP*GP*AP*GP*C)-3'); DNA (5'-D(P*TP*GP*CP*AP,TOP2B,Homo sapiens,EVP,,1.0,True,ACCEPT,ok
Tubulin (colchicine site),4O2B,Tubulin-Colchicine complex,X-RAY DIFFRACTION,2.3,Tubulin alpha-1B chain; Tubulin beta-2B chain; Stathmin-4; Tubulin-tyrosine ligase,"Stmn4,TTL",Bos taurus; Rattus norvegicus; Gallus gallus,LOC,"GTP,GDP,ACP",1.0,False,ACCEPT,ok
VEGFR2 (KDR),3VHE,Crystal structure of human VEGFR2 kinase domain with a novel pyrrolopyrimidine inhibitor.,X-RAY DIFFRACTION,1.55,Vascular endothelial growth factor receptor 2,"FLK1,KDR",Homo sapiens,42Q,,1.0,False,ACCEPT,ok
mTOR (kinase),4DRI,"Co-crystal structure of the PPIase domain of FKBP51, Rapamycin and the FRB fragment of mTO",X-RAY DIFFRACTION,1.45,Peptidyl-prolyl cis-trans isomerase FKBP5; Serine/threonine-protein kinase mTOR,"AIG6,FKBP5,FKBP51,FRAP,FRAP1,FRAP2,MTOR,RAFT",Homo sapiens,RAP,,1.0,False,ACCEPT,ok
