pdb_id,title,method,resolution_A,protein,genes,organism,druglike_ligands,cofactor_ligands,n_druglike,contains_dna,target,verdict,reason
1M17,Epidermal Growth Factor Receptor tyrosine kinase domain with 4-anilinoquinazoline inhibito,X-RAY DIFFRACTION,2.6,epidermal growth factor receptor,egfr,Homo sapiens,AQ4,,1.0,False,EGFR (kinase domain),ACCEPT,ok
4HJO,Crystal structure of the inactive EGFR tyrosine kinase domain with erlotinib,X-RAY DIFFRACTION,2.75,Epidermal growth factor receptor,"EGFR,ERBB,ERBB1,HER1",Homo sapiens,AQ4,,1.0,False,EGFR (kinase domain),ACCEPT,ok
1XKK,EGFR kinase domain complexed with a quinazoline inhibitor- GW572016,X-RAY DIFFRACTION,2.4,Epidermal growth factor receptor,"EGFR,ERBB1",Homo sapiens,FMM,,1.0,False,EGFR (kinase domain),ACCEPT,ok
4JPS,Co-crystal Structures of the Lipid Kinase PI3K alpha with Pan and Isoform Selective Inhibi,X-RAY DIFFRACTION,2.2,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatid","PIK3CA,GRB1,PIK3R1",Homo sapiens,1LT,,1.0,False,PI3Ka (PIK3CA),ACCEPT,ok
4L23,Crystal Structure of p110alpha complexed with niSH2 of p85alpha and PI-103,X-RAY DIFFRACTION,2.501,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Phosphatid","PIK3CA,GRB1,PIK3R1",Homo sapiens,X6K,,1.0,False,PI3Ka (PIK3CA),ACCEPT,ok
5DXT,p110alpha with GDC-0326,X-RAY DIFFRACTION,2.25,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",PIK3CA,Homo sapiens,5H5,,1.0,False,PI3Ka (PIK3CA),ACCEPT,ok
4EJN,Crystal structure of autoinhibited form of AKT1 in complex with N-(4-(5-(3-acetamidophenyl,X-RAY DIFFRACTION,2.19,RAC-alpha serine/threonine-protein kinase,"AKT1,PKB,RAC",Homo sapiens,"0R4,SBT",,2.0,False,AKT1,ACCEPT,ok
3O96,Crystal Structure of Human AKT1 with an Allosteric Inhibitor,X-RAY DIFFRACTION,2.7,RAC-alpha serine/threonine-protein kinase,"AKT1,PKB,RAC",Homo sapiens,IQO,,1.0,False,AKT1,ACCEPT,ok
4GV1,PKB alpha in complex with AZD5363,X-RAY DIFFRACTION,1.49,RAC-alpha serine/threonine-protein kinase,"AKT1,PKB,RAC",Homo sapiens,0XZ,,1.0,False,AKT1,ACCEPT,ok
4JSV,"mTOR kinase structure, mechanism and regulation.",X-RAY DIFFRACTION,3.5,Serine/threonine-protein kinase mTOR; Target of rapamycin complex subunit LST8,"FRAP,FRAP1,FRAP2,MTOR,RAFT1,RAPT1,GBL,LST8,M",Homo sapiens,,"ADP,MGF",0.0,False,mTOR (kinase),REJECT,"cofactor-only ligand (ADP,MGF) -- no inhibitor pocket to redock"
4JT6,structure of mTORDeltaN-mLST8-PI-103 complex,X-RAY DIFFRACTION,3.6,mTOR; mLST8,"mTOR,mLST8",Homo sapiens,X6K,,1.0,False,mTOR (kinase),ACCEPT,ok
4JT5,mTORdeltaN-mLST8-pp242 complex,X-RAY DIFFRACTION,3.45,Serine/threonine-protein kinase mTOR; Target of rapamycin complex subunit LST8,"FRAP,FRAP1,FRAP2,MTOR,RAFT1,RAPT1,GBL,LST8,M",Homo sapiens,P2X,,1.0,False,mTOR (kinase),ACCEPT,ok
4DRI,"Co-crystal structure of the PPIase domain of FKBP51, Rapamycin and the FRB fragment of mTO",X-RAY DIFFRACTION,1.45,Peptidyl-prolyl cis-trans isomerase FKBP5; Serine/threonine-protein kinase mTOR,"AIG6,FKBP5,FKBP51,FRAP,FRAP1,FRAP2,MTOR,RAFT",Homo sapiens,RAP,,1.0,False,mTOR (kinase),ACCEPT,ok
4DRH,"Co-crystal structure of the PPIase domain of FKBP51, Rapamycin and the FRB fragment of mTO",X-RAY DIFFRACTION,2.3,Peptidyl-prolyl cis-trans isomerase FKBP5; Serine/threonine-protein kinase mTOR,"AIG6,FKBP5,FKBP51,FRAP,FRAP1,FRAP2,MTOR,RAFT",Homo sapiens,RAP,,1.0,False,mTOR (kinase),ACCEPT,ok
